network,attack,fraction_removed,repeat,n_nodes,n_edges,density,mean_degree,average_clustering,n_components,giant_component_size,giant_component_fraction,global_efficiency_approx,n_spikes,mean_firing_rate_hz,active_fraction,population_rate_mean,population_rate_cv
aggregated,random,0.0,0,1425,86583,0.0853370786516854,121.52,0.4651891725177661,1,1425,1.0,0.21759567291683254,0,0.0,0.0,0.0,0.0
aggregated,random,0.0,1,1425,86583,0.0853370786516854,121.52,0.4651891725177661,1,1425,1.0,0.21839401414831824,0,0.0,0.0,0.0,0.0
aggregated,random,0.0,2,1425,86583,0.0853370786516854,121.52,0.4651891725177661,1,1425,1.0,0.21227503215884005,0,0.0,0.0,0.0,0.0
aggregated,random,0.0,3,1425,86583,0.0853370786516854,121.52,0.4651891725177661,1,1425,1.0,0.220251565661995,0,0.0,0.0,0.0,0.0
aggregated,random,0.0,4,1425,86583,0.0853370786516854,121.52,0.4651891725177661,1,1425,1.0,0.22346489719909302,0,0.0,0.0,0.0,0.0
aggregated,random,0.1,0,1283,71018,0.08635425697620266,110.70615744349182,0.46626745837921413,5,1268,0.9883086515978177,0.22157381592691017,0,0.0,0.0,0.0,0.0
aggregated,random,0.1,1,1283,70606,0.08585328604102854,110.0639127045986,0.4647725209376885,9,1234,0.9618082618862042,0.22858147121623246,0,0.0,0.0,0.0,0.0
aggregated,random,0.1,2,1283,70800,0.08608918012215422,110.36632891660172,0.4675689254396545,6,1261,0.9828526890101325,0.21788063509192615,0,0.0,0.0,0.0,0.0
aggregated,random,0.1,3,1283,70931,0.08624846942435764,110.57053780202651,0.4678451896822703,8,851,0.6632891660171473,0.34873679812445,0,0.0,0.0,0.0,0.0
aggregated,random,0.1,4,1283,70696,0.08596272143948891,110.20420888542479,0.47049399983906404,11,826,0.6438035853468433,0.3614590622506135,0,0.0,0.0,0.0,0.0
aggregated,random,0.2,0,1140,54563,0.08404263512160559,95.72456140350877,0.46274658618206455,12,759,0.6657894736842105,0.36119416253759223,0,0.0,0.0,0.0,0.0
aggregated,random,0.2,1,1140,54217,0.08350969610153566,95.11754385964912,0.4613613407627791,13,722,0.6333333333333333,0.3659180645941602,0,0.0,0.0,0.0,0.0
aggregated,random,0.2,2,1140,55938,0.08616052862621876,98.13684210526316,0.46619585341054226,13,734,0.643859649122807,0.37733148121481125,0,0.0,0.0,0.0,0.0
aggregated,random,0.2,3,1140,56255,0.08664879934691866,98.69298245614036,0.4582606025076679,24,725,0.6359649122807017,0.39383853650315076,0,0.0,0.0,0.0,0.0
aggregated,random,0.2,4,1140,57677,0.08883908630223496,101.18771929824561,0.46651525559597756,13,733,0.6429824561403509,0.36301444503033276,0,0.0,0.0,0.0,0.0
aggregated,random,0.3,0,997,42568,0.08573511699757909,85.39217652958877,0.46017292481559974,20,629,0.6308926780341023,0.3638500367046232,0,0.0,0.0,0.0,0.0
