base_sigma,Gini_mean,Gini_std,mean_degree_in_mean,mean_degree_in_std,clustering_mean,clustering_std,modularity_Q_mean,modularity_Q_std,avg_shortest_path_mean,avg_shortest_path_std
0.05,0.735762962962963,0.009364889864296434,35.73590425372894,3.6053755528799707,0.5991878377054076,0.007668239809454121,0.8084183296000729,0.030530109866841928,7.381922834903466,1.094843944927576
0.0591836734693877,0.7059098765432099,0.006375749296243803,34.82751558341737,2.734005109038343,0.5766181618174523,0.010548620449364587,0.7910919072052247,0.03418548509527484,7.460989228556128,0.8072526661056135
0.0683673469387755,0.6651703703703704,0.013124454539728568,31.12920884594272,1.2695183282259968,0.5715680501338989,0.005444202571183702,0.8160068993225833,0.019751146500285477,6.819444596619358,0.7658325091687695
0.0775510204081632,0.6544024691358025,0.015578921555414205,32.60044412328203,3.1534838990511496,0.5427405155239899,0.016975289517666036,0.7673949294845641,0.055844309170211694,6.801582048950682,0.5610030213418697
0.086734693877551,0.6311567901234568,0.023077991463432916,30.249342478050085,3.6916818463885037,0.5197850948931553,0.0074179868280740266,0.7309865439370511,0.06101347030773416,6.3027631375398485,0.8514614594253253
0.0959183673469387,0.5996666666666666,0.02399443975180919,27.710696195634124,2.62764670426359,0.5134425199519792,0.009814783129619037,0.7505948562849775,0.0494520739471546,6.148469710652919,0.4715135573587959
0.1051020408163265,0.5740271604938272,0.022253313983186057,26.509689483070247,2.0272477279628935,0.5120521185225008,0.005211745771415288,0.7270118449297236,0.03053156556993407,7.17911168489551,0.43081833424157395
0.1142857142857143,0.5390222222222223,0.035403633283281284,24.120427467989554,2.6302947104654253,0.49686886866580143,0.008101329242368822,0.7327655801430638,0.04210015635881904,6.363833581437983,0.361643368826995
0.123469387755102,0.5404617283950618,0.030939434655899937,25.07237106886256,2.9321200194591652,0.48751981088008006,0.006027168152797236,0.6925547140905997,0.047405740412515204,6.123908758185781,0.7363022407505091
0.1326530612244898,0.5161370370370371,0.034839884973573036,22.63860521042084,1.9227391112981758,0.4923908232408115,0.007937703000574845,0.7249666989283071,0.028110365161138736,6.820696876731728,0.4845666496565955
