Gini,mean_peak_height,std_peak_height
0.7239753086419753,0.15226354348040347,0.08111418716359554
0.7007345679012345,0.2416835016835017,0.14309580509811878
0.6494320987654321,0.20364809253698146,0.09021248882135761
0.6679691358024691,0.16942564059969267,0.06771438385613732
0.6265061728395063,0.33651786331283257,0.22137187904375716
0.5838395061728394,0.18451213610778597,0.05922671088451893
0.5806975308641975,0.26131666666666664,0.11753020770092353
0.509895061728395,0.407516129032258,0.015739555610691812
0.5810308641975308,0.6309432515337423,0.034564011519198634
0.4614753086419754,0.1702686567164179,0.053803007764104106
0.4656111111111112,0.26052631578947366,0.09336931109763875
0.47177777777777785,0.1478278278278278,0.03577451539976781
0.49763580246913586,0.27715686274509804,0.08468311694806696
0.46464814814814814,0.20037837837837838,0.07609998804963196
0.4130493827160493,0.15554347826086956,0.054661291654085585
0.38981481481481484,0.06339673006339673,0.004501413935012358
0.42347530864197536,0.18326530612244898,0.09035593460743928
0.39194444444444443,0.06929151373595818,0.014557809606901279
0.40401234567901234,0.15153571428571427,0.038797535031104696
0.4351851851851851,0.10865704414091511,0.032072207027811994
0.37935185185185194,0.13640000000000002,0.04607808589774536
0.35398765432098767,0.0,0.0
0.37063580246913586,0.12925,0.02029008378494283
0.357388888888889,0.12533333333333332,0.035214895838109314
0.36963580246913574,0.16362136036779443,0.07319654887798392
0.36178395061728397,0.09742307692307692,0.025743069383851166
0.34458024691358013,0.08249999999999999,0.011079259903080172
0.35483950617283955,0.07466666666666667,0.008478731561317935
0.32470987654320993,0.06233333333333333,0.005734883511361754
0.342216049382716,0.0,0.0
0.362753086419753,0.12868421052631582,0.058833442540946364
0.3875246913580246,0.16830434782608697,0.05322261270207936
0.3577962962962964,0.0,0.0
0.3384938271604938,0.10625,0.041227266462864114
0.3579444444444444,0.17963157894736842,0.02355332254205515
0.3914506172839507,0.17088235294117649,0.026081055448106343
0.32480246913580246,0.0,0.0
0.35364197530864194,0.11025,0.03078047270592185
0.38749999999999996,0.21505000000000002,0.013021040665015986
0.34259259259259256,0.0,0.0
0.3494691358024691,0.059,0.006000000000000002
0.39634567901234563,0.13842105263157894,0.022569928268602487
0.39049382716049386,0.2263913043478261,0.03715272724547873
0.36022839506172843,0.10125,0.031690889858128
0.3417962962962964,0.0,0.0
0.3038950617283951,0.0,0.0
0.33911728395061735,0.0,0.0
0.358753086419753,0.08399999999999999,0.025585151944047545
0.3574135802469136,0.0861111111111111,0.018835217867037412
0.3647345679012346,0.1542222222222222,0.024561839316657126
