Gini,MAX_EXC_WEIGHT,mean_peak_height_weighted,error_mean_peak_height_weighted,mean_fano_factor,error_fano_factor
0.7239753086419753,2.0,0.0,0.0,,
0.7239753086419753,2.484848484848485,0.0,0.0,,
0.7239753086419753,2.9696969696969697,0.0,0.0,,
0.7239753086419753,3.4545454545454546,0.0,0.0,,
0.7239753086419753,3.939393939393939,0.0,0.0,,
0.7239753086419753,4.424242424242424,0.0,0.0,,
0.7239753086419753,4.909090909090909,0.0,0.0,,
0.7239753086419753,5.3939393939393945,0.03587174348697394,0.0,0.0,0.0
0.7239753086419753,5.878787878787879,0.10921843687374747,0.0,0.0001472945891783557,0.0001472945891783557
0.7239753086419753,6.363636363636363,0.24481043665558963,0.006456717534014515,0.008822693293839893,0.004721499120026251
0.7239753086419753,6.848484848484849,0.17466196237960072,0.029143064657482787,0.025822402146659172,0.003010988501754552
0.7239753086419753,7.333333333333334,0.20052845353773338,0.03817002271932369,0.03698610685359664,0.002364901969298673
0.7239753086419753,7.818181818181818,0.20324809252619763,0.03974899401181279,0.0419857329527876,0.005024455773654359
0.7239753086419753,8.303030303030303,0.22232339718492208,0.04457693570748166,0.045327006820031095,0.0026676794482413876
0.7239753086419753,8.787878787878789,0.23006015199718816,0.04887310085164691,0.05299436321866332,0.0038759919785002657
0.7239753086419753,9.272727272727272,0.2428906064141953,0.05577434818258519,0.06503348311001109,0.0039308586390022025
0.7239753086419753,9.757575757575758,0.2565718454581914,0.05281530170341301,0.05563472464957407,0.004092876284637784
0.7239753086419753,10.242424242424242,0.26015315608428374,0.05847657529492099,0.06654707455706547,0.0038209694692212643
0.7239753086419753,10.727272727272728,0.26851218242558095,0.05746223240046807,0.06315227387256749,0.0051583989143310915
0.7239753086419753,11.212121212121213,0.27584005723197563,0.06303164254601658,0.07339679873638527,0.0050815890927849985
0.7239753086419753,11.696969696969695,0.2922433252326,0.061687895998818125,0.0667340314180039,0.005005551349411086
0.7239753086419753,12.181818181818182,0.2955669384511642,0.06634582114491791,0.07736144787926964,0.007523490283282436
0.7239753086419753,12.666666666666668,0.2992902552975492,0.0633679337466548,0.06815158118975179,0.00408710018710326
0.7239753086419753,13.151515151515152,0.2985261794234886,0.06738464225395999,0.07826062793756264,0.006404377604249394
0.7239753086419753,13.636363636363637,0.3034510622060657,0.06616109809803951,0.07676741144643855,0.008254779634963887
0.7239753086419753,14.12121212121212,0.3121759312769849,0.06726359224528619,0.07667967005473507,0.009096683048723492
0.7239753086419753,14.606060606060606,0.31107711702072177,0.06887880937401357,0.07932260901765,0.00837452466073495
0.7239753086419753,15.090909090909092,0.3139433539312867,0.07117410625729557,0.08584160350541406,0.010168857323519534
0.7239753086419753,15.575757575757576,0.3223069396651191,0.06700023825726076,0.0717178287398035,0.006109104864612501
0.7239753086419753,16.060606060606062,0.3256360275485485,0.06719763428311869,0.07202967039878445,0.0072766572337350215
0.7239753086419753,16.545454545454547,0.33745637061905265,0.07286617723039968,0.07980946549661175,0.004686374546558482
0.7239753086419753,17.03030303030303,0.3649245429672182,0.06939053192359054,0.06675674589561535,0.003634341251716286
0.7239753086419753,17.515151515151516,0.39055142535465714,0.06865558819584952,0.06597664312325083,0.009623468897963582
0.7239753086419753,18.0,0.408525211552335,0.07386468365431834,0.07101476786777551,0.009135034238423876
0.7239753086419753,18.484848484848484,0.4249187414768469,0.07447719549317709,0.06859919536915195,0.007880962752600779
0.7239753086419753,18.96969696969697,0.44826862345795143,0.06791963373295468,0.053642604780011004,0.005743887475189352
0.7239753086419753,19.454545454545453,0.46894146854454105,0.06626098963636018,0.04705546912770823,0.0016429579067008366
0.7239753086419753,19.93939393939394,0.48675323903628265,0.06199365643951666,0.04020393746792937,0.002945850043981597
0.7239753086419753,20.424242424242426,0.49461196572531807,0.06436428716890272,0.042704670076333634,0.002825231988574958
0.7239753086419753,20.90909090909091,0.4980822255557201,0.06131543256712119,0.0383142803897006,0.002332735936998991
0.7239753086419753,21.393939393939394,0.5268739183585233,0.06284550292511676,0.03795381220554049,0.0022433835398358443
0.7239753086419753,21.87878787878788,0.5327768664184402,0.062134692745528575,0.03635639693751695,0.001083506054559119
0.7239753086419753,22.363636363636363,0.553461732699861,0.06398541375225963,0.037143392784542595,0.0012075065905058809
0.7239753086419753,22.848484848484848,0.567362977825278,0.063056638003096,0.035254901228738665,0.001371127969658047
0.7239753086419753,23.333333333333336,0.5710697300624357,0.06163256335277753,0.03359794714239962,0.00167013114432949
0.7239753086419753,23.81818181818182,0.5973194641516728,0.06096379965368806,0.03154543044270877,0.0018439862018836731
0.7239753086419753,24.303030303030305,0.6080481084009245,0.06239579574112676,0.03207262261741248,0.0006796277027115399
0.7239753086419753,24.78787878787879,0.6347498249990147,0.06124490063344183,0.029755800406295586,0.0012663842163296792
0.7239753086419753,25.272727272727277,0.6488401548961289,0.05757197078195591,0.02559464203881005,0.0005701767460663751
0.7239753086419753,25.75757575757576,0.6501439166166331,0.05565805690711615,0.024309492497146493,0.0016827806709609932
0.7239753086419753,26.24242424242424,0.6658854976978129,0.05348121588576512,0.02178894572019028,0.0012893981923920302
0.7239753086419753,26.727272727272727,0.6793958848742785,0.05334414314102083,0.02107153295798948,0.0008618582875675031
0.7239753086419753,27.21212121212121,0.6938314029684988,0.05108353812918418,0.018997159211624794,0.0009325289303749741
0.7239753086419753,27.6969696969697,0.7066163397749581,0.050114742549273186,0.018514561176592587,0.0020716116243893723
0.7239753086419753,28.181818181818183,0.7164512530405079,0.04987088553933957,0.017476048955555552,0.0007124600210885753
0.7239753086419753,28.666666666666668,0.728044729715793,0.048159809343927655,0.016709579606355947,0.001835517241144201
0.7239753086419753,29.151515151515152,0.7299473648315675,0.048725948584670886,0.016630898225499048,0.0012080979108757672
0.7239753086419753,29.63636363636364,0.7418132393964344,0.048384126161908195,0.01656993086059072,0.0016380346517697573
0.7239753086419753,30.12121212121212,0.755981446574768,0.0486006802350807,0.01653314628680636,0.0020622410785349136
0.7239753086419753,30.60606060606061,0.7860405037250182,0.04362926850142698,0.012174480708837008,0.00042815701638141036
0.7239753086419753,31.090909090909093,0.7855692603367939,0.03897995726858556,0.009809504514489103,0.000573910839579096
0.7239753086419753,31.575757575757574,0.7928138491882272,0.03971161679977404,0.010265428853169202,0.0008274265004289453
0.7239753086419753,32.06060606060606,0.8003234304034457,0.040782241184862185,0.010492731930018512,0.0005301914071227197
0.7239753086419753,32.54545454545455,0.8161509772663585,0.036889708784918276,0.008440179551037295,0.0004744396692286427
0.7239753086419753,33.03030303030303,0.8317970210449052,0.035928078597180786,0.007962500200968628,0.0006142479464462232
0.7239753086419753,33.51515151515152,0.8396525337620997,0.03633122141294763,0.008558364910570776,0.0011830455070358115
0.7239753086419753,34.0,0.84084586025141,0.0327593573923565,0.006579336249610879,0.0005813141157541691
0.7239753086419753,34.484848484848484,0.8427010853804595,0.031901506340864784,0.006132871420757486,0.00038297468426411337
0.7239753086419753,34.96969696969697,0.8526278590538924,0.03024873379219793,0.00541324784375275,0.00025265589820182874
0.7239753086419753,35.45454545454545,0.8664833431153312,0.027906108813776618,0.004713759107312756,0.0005436803823339011
0.7239753086419753,35.93939393939394,0.8740612325472618,0.025821690616443276,0.0039491015791662445,0.0003961216274615903
0.7239753086419753,36.42424242424242,0.8747763960007537,0.02647260310026436,0.0041360792057782685,0.00041221349736194956
0.7239753086419753,36.90909090909091,0.8931425781640046,0.022642959442829933,0.003064659628338768,0.00035414406034064733
0.7239753086419753,37.3939393939394,0.8906693488648271,0.02328999802374861,0.0030579114609898253,9.694636983662068e-05
0.7239753086419753,37.87878787878788,0.893388131252142,0.021682564778384053,0.0027433346030996063,0.0002588056181616056
0.7239753086419753,38.36363636363637,0.9040510399332039,0.021276366768178845,0.002626204820033634,0.0002642251071666044
0.7239753086419753,38.84848484848485,0.9082322636604924,0.019952736945565104,0.002306361358056918,0.0002558910392677478
0.7239753086419753,39.333333333333336,0.9129882810370112,0.0169466492264645,0.0019049498387430554,0.00032331701938888627
0.7239753086419753,39.81818181818182,0.9131436787824614,0.01745088413254118,0.001734200637146123,0.00017080228360189995
0.7239753086419753,40.30303030303031,0.9132575635485521,0.016521169617657185,0.001510244390110343,7.415840930499684e-05
0.7239753086419753,40.78787878787879,0.915829506147318,0.014889195001366045,0.0012632382280870207,0.00012044139391843782
0.7239753086419753,41.27272727272727,0.9240379399445134,0.01243562261466867,0.0009310478584084294,0.00014198870283665485
0.7239753086419753,41.75757575757576,0.9261757485169635,0.011073280307168382,0.0006814443359779496,6.17676673353011e-05
0.7239753086419753,42.24242424242424,0.928543597013002,0.010311356545810677,0.0006191915803389142,8.626598329636598e-05
0.7239753086419753,42.72727272727273,0.9268148145139695,0.011936744732789545,0.0009399354479058044,0.00022539636102864128
