base_sigma,Gini_mean,Gini_std,k_in,P_k_in_mean,P_k_in_std,P_k_in_sem,k_in_mean_global,k_in_std_between_sims,k_in_sem_between_sims,n_sims
0.05,0.7436364197530864,0.014244690849613731,0,0.0038199442916294008,0.0014818112362685184,0.00033134306541194095,37.88093548707842,5.932683020618181,1.3265882523061039,20
0.05,0.7436364197530864,0.014244690849613731,1,0.013267642457350135,0.004222062679337765,0.0009440819156264139,37.88093548707842,5.932683020618181,1.3265882523061039,20
0.05,0.7436364197530864,0.014244690849613731,2,0.020099918538737372,0.004985582054273113,0.0011148100380757725,37.88093548707842,5.932683020618181,1.3265882523061039,20
0.05,0.7436364197530864,0.014244690849613731,3,0.020351784935984933,0.0034214759300352014,0.0007650652762938025,37.88093548707842,5.932683020618181,1.3265882523061039,20
0.05,0.7436364197530864,0.014244690849613731,4,0.0181849382439686,0.004597950400657883,0.0010281329653043418,37.88093548707842,5.932683020618181,1.3265882523061039,20
0.05,0.7436364197530864,0.014244690849613731,5,0.013368221037655646,0.0035099452821009225,0.0007848476248082337,37.88093548707842,5.932683020618181,1.3265882523061039,20
0.05,0.7436364197530864,0.014244690849613731,6,0.009097080290858362,0.0028340095432649332,0.0006337037987623522,37.88093548707842,5.932683020618181,1.3265882523061039,20
0.05,0.7436364197530864,0.014244690849613731,7,0.006078382079076718,0.0029211064635413387,0.0006531792621992443,37.88093548707842,5.932683020618181,1.3265882523061039,20
0.05,0.7436364197530864,0.014244690849613731,8,0.004420030284957835,0.002356738849927458,0.000526982827365247,37.88093548707842,5.932683020618181,1.3265882523061039,20
0.05,0.7436364197530864,0.014244690849613731,9,0.003769033395792433,0.002157665541632709,0.0004824686823799641,37.88093548707842,5.932683020618181,1.3265882523061039,20
0.05,0.7436364197530864,0.014244690849613731,10,0.004070243395203467,0.0021273986661482207,0.0004757008032749803,37.88093548707842,5.932683020618181,1.3265882523061039,20
0.05,0.7436364197530864,0.014244690849613731,11,0.003016168872642488,0.0018178513751182987,0.0004064839247755985,37.88093548707842,5.932683020618181,1.3265882523061039,20
0.05,0.7436364197530864,0.014244690849613731,12,0.0035667614254771595,0.0017378924578935434,0.0003886045673434154,37.88093548707842,5.932683020618181,1.3265882523061039,20
0.05,0.7436364197530864,0.014244690849613731,13,0.0034669741359003464,0.0021259111358150895,0.0004753681813806329,37.88093548707842,5.932683020618181,1.3265882523061039,20
0.05,0.7436364197530864,0.014244690849613731,14,0.0036198344610672366,0.0024478298635664288,0.0005473513972288571,37.88093548707842,5.932683020618181,1.3265882523061039,20
0.05,0.7436364197530864,0.014244690849613731,15,0.0034677311235476274,0.0014018081269622587,0.00031345382632992657,37.88093548707842,5.932683020618181,1.3265882523061039,20
0.05,0.7436364197530864,0.014244690849613731,16,0.004068175388137713,0.002238178953471267,0.0005004720285771093,37.88093548707842,5.932683020618181,1.3265882523061039,20
0.05,0.7436364197530864,0.014244690849613731,17,0.003970043628303174,0.002574332873898764,0.0005756383302750029,37.88093548707842,5.932683020618181,1.3265882523061039,20
0.05,0.7436364197530864,0.014244690849613731,18,0.003918932177611374,0.0024143652169863273,0.0005398684747692457,37.88093548707842,5.932683020618181,1.3265882523061039,20
0.05,0.7436364197530864,0.014244690849613731,19,0.005023461075011184,0.0027007353913142493,0.0006039027924218157,37.88093548707842,5.932683020618181,1.3265882523061039,20
