k,P_k,P_k_error
0,0.00010005005005005005,6.885917654139947e-05
1,0.00115015015015015,0.00022100916674390158
2,0.00325025025025025,0.0005423330238183159
3,0.0058501001001001005,0.0006892684688020527
4,0.0096002002002002,0.0007893287794495843
5,0.015000900900900902,0.0007183834493694721
6,0.019701051051051053,0.0009545666893024416
7,0.027701901901901905,0.0011641407019899906
8,0.03270115115115115,0.0012373080466862886
9,0.04025175175175175,0.001690050838703667
10,0.046101751751751754,0.001508766826795992
11,0.05025235235235235,0.0020554461015015422
12,0.05815270270270271,0.0022053190049109096
13,0.06395255255255256,0.0017317698990803572
14,0.0656525025025025,0.002419757389530137
15,0.06585340340340341,0.0025551017562863523
16,0.06860375375375374,0.002767179028795682
17,0.0628033033033033,0.0020885823505504084
18,0.05840310310310311,0.0018787247256145082
19,0.05655315315315316,0.0016652542808958477
20,0.049603053053053056,0.0019236722927930747
21,0.04545265265265265,0.002077291869995148
22,0.03585235235235235,0.002122313318244079
23,0.030402052052052052,0.002024632305940986
24,0.026251401401401402,0.0015336993841774031
25,0.020050750750750752,0.0017909116779527704
26,0.013650750750750751,0.0013846819459229452
27,0.01015045045045045,0.001267539427792672
28,0.00585015015015015,0.0006459038779921403
29,0.0036501001001001004,0.0006294178538455088
30,0.0027501001001001,0.0004581053682649659
31,0.0025001001001001,0.0005960351495410701
32,0.00075,0.0003151858265581717
33,0.0007,0.0002417044737516849
34,0.0002,9.176629354822471e-05
35,0.00035,0.00018173143863810045
36,0.0002,9.176629354822471e-05
