base_sigma,Gini,mean_degree_in,clustering,modularity_Q,avg_shortest_path
0.05,0.7239753086419753,30.17434869739479,0.6104049020143567,0.8585818963033478,7.958681656191018
0.05,0.7293827160493827,35.35317860746721,0.5959150246795231,0.8148043056531363,8.917241027836386
0.05,0.7361790123456791,38.153,0.5986346173893883,0.7840536428142381,7.318538538538538
0.05,0.7420493827160495,35.3953722334004,0.5895318671976557,0.7868662367767256,6.391428125652201
0.05,0.7472283950617284,39.603621730382294,0.6014527772461146,0.7977855664529165,6.323724826299185
0.05918367346938776,0.700037037037037,33.33400200601805,0.5759360893260418,0.833704401630054,7.467241080671734
0.05918367346938776,0.7007345679012345,33.71111111111111,0.5764352861980571,0.7759675074210602,6.99671129903688
0.05918367346938776,0.7046234567901235,36.859437751004016,0.5725106393847093,0.7839917436585963,6.371209460959416
0.05918367346938776,0.7086419753086419,31.79037111334002,0.5935155114627682,0.8153346315784301,8.287631972221886
0.05918367346938776,0.7155123456790122,38.44265593561368,0.5646932827156853,0.7464612517379833,8.182152329890725
0.06836734693877551,0.6494320987654321,30.46046046046046,0.568843503325334,0.8297061653906053,6.379132639653681
0.06836734693877551,0.6583765432098765,29.56256256256256,0.5690662859888976,0.8047447145724068,7.807964276902153
0.06836734693877551,0.6631604938271605,32.006006006006004,0.5669006352565947,0.78988587624615,6.04100894481656
0.06836734693877551,0.6707345679012346,30.845845845845847,0.5806469658291253,0.8397474428259726,7.455369196852163
0.06836734693877551,0.6841481481481482,32.77116935483871,0.5723828602695428,0.815950297577782,6.413747924872237
0.07755102040816328,0.6316481481481482,28.225225225225227,0.5481350825689713,0.8152536677200368,7.356552945731303
0.07755102040816328,0.6457160493827161,31.84561049445005,0.5322938533661072,0.7672313605492502,7.054518953408963
0.07755102040816328,0.6592283950617284,35.30220883534137,0.525175800885243,0.6960167767631408,6.205989788298925
0.07755102040816328,0.6674506172839505,36.030181086519114,0.5390467793696337,0.730202864579773,6.190618028412165
0.07755102040816328,0.6679691358024691,31.598994974874373,0.5690510614299947,0.82826997781062,7.200230528902056
0.08673469387755103,0.5994197530864198,25.471,0.5289586093516382,0.8220785311530687,6.977465465465466
0.08673469387755103,0.625246913580247,30.419678714859437,0.5152289335580298,0.7323661892463649,5.611769691832658
0.08673469387755103,0.6265061728395063,30.387775551102205,0.5194584980768677,0.6973781741862468,6.459372104288819
0.08673469387755103,0.6430308641975309,29.194388777555112,0.524915779561315,0.7447345160118976,7.215681111470684
0.08673469387755103,0.6615802469135803,35.77386934673367,0.5103636539179257,0.6583753090876776,5.249527314641618
0.09591836734693879,0.5715802469135802,24.802208835341364,0.5196770179181928,0.8044791166310322,6.481723880446409
0.09591836734693879,0.5838395061728394,25.697183098591548,0.526239772710382,0.8023326137414662,6.359202546598827
0.09591836734693879,0.6000987654320988,27.73873873873874,0.5110930178761651,0.7332707836292186,6.599744032609764
0.09591836734693879,0.6087962962962963,28.907,0.500741787934324,0.7077370767794898,5.782960960960961
0.09591836734693879,0.6340185185185185,31.40835030549898,0.509461003320832,0.7051546906436804,5.518717132648634
0.10510204081632654,0.5473518518518519,23.47947947947948,0.5098400200340829,0.7738003534994835,7.111508301889064
0.10510204081632654,0.5547962962962962,25.422,0.503903546622003,0.7091171547919606,6.520704704704705
0.10510204081632654,0.5806975308641975,27.663,0.5147242689496309,0.6923599086855101,7.667433433433433
0.10510204081632654,0.5871172839506174,27.574148296593187,0.5153221334786792,0.7308876157934616,7.160766869747519
0.10510204081632654,0.6001728395061727,28.409819639278556,0.5164706235281081,0.7288941918782021,7.435145114702826
0.1142857142857143,0.4984135802469136,20.916,0.502450985402796,0.7969118716811158,6.85851051051051
0.1142857142857143,0.509895061728395,22.342,0.4894149205627886,0.7211377328317605,5.997883883883884
0.1142857142857143,0.5378395061728396,23.941,0.5074877459140763,0.7507633781705159,6.620414414414414
0.1142857142857143,0.5742592592592592,26.036036036036037,0.48897477669835676,0.6936637520874364,6.218372681298533
0.1142857142857143,0.5747037037037037,27.367101303911735,0.4960159147509895,0.7013511659444908,6.123986417082573
0.12346938775510205,0.4939382716049383,22.060606060606062,0.4957031008159084,0.7562565031263622,6.531605233324141
0.12346938775510205,0.5403395061728395,25.880445795339412,0.49153508484824365,0.6772548166534423,6.2305159774841705
0.12346938775510205,0.5431604938271606,23.38,0.48538090199378503,0.7030921864099886,6.975955955955956
0.12346938775510205,0.5438395061728394,24.354709418837675,0.480613137107719,0.7008292335132716,5.847882324327692
0.12346938775510205,0.5810308641975308,29.686094069529652,0.48436682963474414,0.6253408307499333,5.033584299836945
0.1326530612244898,0.4614753086419754,19.768,0.48752573799530985,0.7669496893000571,6.774988988988989
0.1326530612244898,0.5068148148148148,21.623,0.48550231092149015,0.7162700687475658,6.136028028028028
0.1326530612244898,0.5268580246913581,23.51302605210421,0.49187902796929456,0.737167279049715,6.6241610603353145
0.1326530612244898,0.5316543209876543,23.816,0.4912631479685278,0.6938810876763237,7.275523523523524
0.1326530612244898,0.5538827160493827,24.473,0.5057838913494351,0.7105653698678736,7.2927827827827825
0.14183673469387756,0.4646851851851852,21.54954954954955,0.4736756315266012,0.6748820678740591,6.039524494434314
0.14183673469387756,0.4656111111111112,20.58,0.4755641542051498,0.6929219896741297,6.366302302302302
0.14183673469387756,0.47944444444444434,21.04116465863454,0.47451006722514283,0.7177673011644394,5.874099412726282
0.14183673469387756,0.49316049382716054,22.609437751004016,0.4760177792850925,0.7222539892425164,5.5483380759217775
0.14183673469387756,0.5051604938271606,22.76076076076076,0.4872132279964716,0.7093554757785467,6.302013436281974
0.1510204081632653,0.4624938271604939,19.837,0.48121956946468875,0.7360397531080694,6.60148948948949
0.1510204081632653,0.4690061728395061,19.184184184184183,0.4895783125067724,0.7683821770291603,7.248831998330997
0.1510204081632653,0.47177777777777785,19.325325325325327,0.4769564055857836,0.7469914400827081,6.498263794856981
0.1510204081632653,0.509858024691358,24.32832832832833,0.4764814708606819,0.6550986116768118,5.616018824435658
0.1510204081632653,0.5150925925925927,23.119238476953907,0.4760249619812204,0.6983364454416541,6.213843936619478
0.1602040816326531,0.4070370370370371,18.31931931931932,0.4668522213898042,0.7311154569264224,5.833131728923312
0.1602040816326531,0.41428395061728396,17.639,0.4735440916535657,0.7423814024841506,6.755901901901902
0.1602040816326531,0.4196481481481482,17.802,0.47843197038444896,0.7685096377373685,6.314542542542543
0.1602040816326531,0.46687037037037027,20.365,0.47011288105985616,0.6881238542349266,6.374244244244244
0.1602040816326531,0.49763580246913586,23.988,0.4855263215374416,0.6556793130833274,6.805051051051051
0.16938775510204085,0.3925308641975309,17.524,0.47675439862384805,0.7401688310551248,6.222264264264264
0.16938775510204085,0.4592037037037038,20.584,0.4793684105176295,0.7079992398608248,5.806854854854855
0.16938775510204085,0.4635370370370371,20.858,0.46811086591787804,0.6632503330930125,5.608898898898899
0.16938775510204085,0.46464814814814814,19.279,0.481697408953352,0.7333956841353559,7.146812812812813
0.16938775510204085,0.46464814814814814,20.62062062062062,0.46515666361875146,0.7103183612198882,5.968250815946207
0.1785714285714286,0.4130493827160493,17.927,0.4707402299605345,0.7561857056511486,6.735867867867868
0.1785714285714286,0.44053703703703695,18.316316316316318,0.4741462339504173,0.7438704961570066,6.460382225913288
0.1785714285714286,0.4554074074074075,20.11011011011011,0.4697333410213694,0.69146364338054,6.28252701599395
0.1785714285714286,0.4586975308641976,19.872745490981963,0.4607450473207514,0.6955647793368754,5.578095006462273
0.1785714285714286,0.4695555555555555,21.45791583166333,0.4631887261013652,0.6544280592114837,5.1443870690227
0.18775510204081636,0.38981481481481484,16.915915915915917,0.4755380256053458,0.7614259354505808,6.570101163287536
0.18775510204081636,0.432574074074074,18.896,0.4729494024265504,0.7224064713895489,6.616650650650651
0.18775510204081636,0.4548827160493827,19.227,0.4705450823883187,0.729119518724174,6.654998998998999
0.18775510204081636,0.498679012345679,21.974899598393574,0.4734840292011534,0.6703512098075076,6.3488123347662
0.18775510204081636,0.5276419753086419,25.54472361809045,0.4643354039118878,0.6058627221483,5.19995551196627
0.1969387755102041,0.36797530864197525,16.856,0.47280998390546053,0.7575031660687799,6.573315315315315
0.1969387755102041,0.42347530864197536,19.042,0.47135617402121344,0.701212253493382,6.448216216216216
0.1969387755102041,0.42833950617283945,19.29,0.4649120550280868,0.7090304002047907,6.209805805805805
0.1969387755102041,0.4480123456790124,19.967,0.4675104088714482,0.6957599194771326,5.705301301301302
0.1969387755102041,0.45132098765432094,19.322,0.46752922565113664,0.6879456769673488,6.605801801801801
0.20612244897959187,0.39194444444444443,16.83183183183183,0.46570359940698597,0.7217494293932146,6.08007406203799
0.20612244897959187,0.4027283950617284,18.45390781563126,0.4689079866723048,0.7109702195635917,6.173801967023315
0.20612244897959187,0.40709259259259256,17.493,0.4606425563662116,0.7298445827870691,5.842248248248248
0.20612244897959187,0.4074567901234567,17.941,0.47424833844987857,0.7270112062818284,6.538742742742743
0.20612244897959187,0.4224444444444444,19.170682730923694,0.4644237615260271,0.7102700358483667,5.857922140824605
0.21530612244897962,0.37543209876543204,17.82,0.468842896158145,0.7067033799530136,6.214528528528528
0.21530612244897962,0.38982716049382704,18.465,0.4577845381886229,0.7014899094374097,5.551335335335335
0.21530612244897962,0.3905308641975309,17.006,0.4683116586361359,0.7351988739818338,6.301803803803804
0.21530612244897962,0.40401234567901234,17.688,0.47390562406149794,0.7201892203631186,6.504698698698698
0.21530612244897962,0.4141172839506173,18.337,0.470723535813268,0.7204008675414316,6.342914914914915
0.22448979591836737,0.37203086419753095,16.676,0.4645883374057393,0.734826266898833,6.227345345345346
0.22448979591836737,0.38470987654320976,16.919,0.46510459991752234,0.7353661606411939,6.204088088088088
0.22448979591836737,0.4023950617283951,18.158,0.45834812294090843,0.6934624678961696,5.949627627627628
0.22448979591836737,0.4351851851851851,18.016016016016017,0.4681784559899372,0.7401102953736882,6.5156840206940405
0.22448979591836737,0.47871604938271606,23.76976976976977,0.46762538592288805,0.6046497717946921,6.034976860628163
0.23367346938775513,0.37517283950617286,17.273,0.45223907474468444,0.6941768912019681,5.709435435435435
0.23367346938775513,0.37935185185185194,17.688,0.4718431319950064,0.7199002266876375,5.850950950950951
0.23367346938775513,0.3857777777777778,18.77777777777778,0.4560589276695968,0.7015461897998544,5.63772590225496
0.23367346938775513,0.3901358024691357,16.992,0.4681793070296856,0.7245012474662039,6.455915915915916
0.23367346938775513,0.3957222222222223,17.362,0.46110199548903824,0.7273147450867634,6.0878098098098095
0.24285714285714288,0.35398765432098767,16.050100200400802,0.4614956307065518,0.7342887611464987,6.0124883669043205
0.24285714285714288,0.3545555555555555,16.129,0.4598891409495737,0.7312813825427823,6.16049049049049
0.24285714285714288,0.3554012345679012,15.848,0.4679163149098966,0.7394375399025606,6.466392392392392
0.24285714285714288,0.39215432098765435,16.824,0.460392613461425,0.7237701477627784,6.116998998998999
0.24285714285714288,0.4189938271604938,18.97197197197197,0.4656922409516666,0.6900796964529655,6.001396185764923
0.25204081632653064,0.37063580246913586,16.89,0.461508352250214,0.7453539372774155,6.304142142142142
0.25204081632653064,0.39449382716049386,17.83983983983984,0.46550834292929827,0.7175294021297641,5.703075821312294
0.25204081632653064,0.4067716049382717,18.794794794794793,0.4555206665810154,0.6892064031053604,5.8644456079325815
0.25204081632653064,0.42562345679012337,19.05438066465257,0.4689666788092116,0.706383858625019,5.791451450475912
0.25204081632653064,0.4279135802469136,18.779,0.4577203618906135,0.7009237355130651,5.84453053053053
0.2612244897959184,0.35130864197530864,16.063,0.4643619038201452,0.7281228793534671,6.317423423423423
0.2612244897959184,0.357388888888889,15.618,0.46863395826446275,0.739783484567776,6.46416016016016
0.2612244897959184,0.3762037037037036,15.835,0.46680139317526476,0.7438084242194761,6.482914914914915
0.2612244897959184,0.3821481481481481,16.96,0.46694748972901645,0.7150297587947575,6.214938938938939
0.2612244897959184,0.4143024691358024,17.349,0.47144683596917114,0.7516149493341333,6.510588588588589
0.27040816326530615,0.32825308641975304,15.706706706706706,0.4650707512961684,0.7377644001901982,6.298874024324926
0.27040816326530615,0.35912345679012336,15.49,0.47052634293566287,0.7537236427599815,6.503589589589589
0.27040816326530615,0.36963580246913574,17.45991983967936,0.46534414531526225,0.7020878647741561,5.776035521393841
0.27040816326530615,0.41429012345679017,18.394,0.45735517191051106,0.6937021929519657,5.6828868868868865
0.27040816326530615,0.4209691358024692,18.206,0.46372412350523634,0.6911422255557657,6.109459459459459
0.2795918367346939,0.36178395061728397,16.538,0.46274045053322993,0.7261304216800214,5.989511511511512
0.2795918367346939,0.37276543209876545,17.256,0.46857028832860637,0.7080137638690267,5.740458458458458
0.2795918367346939,0.3740617283950618,16.276,0.46325108708301066,0.7392704319481329,6.409797797797798
0.2795918367346939,0.37410493827160485,16.415,0.4571118747724783,0.7252947174080623,6.071263263263263
0.2795918367346939,0.38816049382716056,17.293,0.4683951694057741,0.7061408169937324,6.276038038038038
0.28877551020408165,0.3428209876543209,15.346,0.4681058971499239,0.7448498642525704,6.371063063063063
0.28877551020408165,0.34458024691358013,15.371,0.46957085917839536,0.7511173966525755,6.79574974974975
0.28877551020408165,0.3624197530864197,16.324,0.46151569367370227,0.7386441401700228,6.194966966966967
0.28877551020408165,0.37029629629629635,16.238,0.46293738854877375,0.727919270740808,6.315337337337337
0.28877551020408165,0.43115432098765427,19.023,0.46940996510002253,0.6891806274860469,6.019205205205205
0.2979591836734694,0.33519753086419746,15.709,0.46290003179405714,0.7476242050975244,6.317893893893894
0.2979591836734694,0.35059259259259257,15.226,0.46390287352665815,0.748427042482431,6.3100800800800805
0.2979591836734694,0.35204938271604935,16.117469879518072,0.46711077521343974,0.727085472697102,6.323004581138625
0.2979591836734694,0.35483950617283955,16.014,0.4634337068326444,0.7197622002816808,6.0850870870870875
0.2979591836734694,0.3657962962962962,16.366,0.46382421427680254,0.7306029768513473,6.3055695695695695
0.30714285714285716,0.32470987654320993,15.265,0.4657803070514499,0.7579611565921957,6.3572952952952955
0.30714285714285716,0.349,16.126,0.46374549932595577,0.7427899758700798,6.051265265265266
0.30714285714285716,0.3622037037037036,16.727,0.46901632904847534,0.7351231323132723,6.024896896896897
0.30714285714285716,0.3698827160493827,17.146,0.45918421083856564,0.7136408593351892,5.890428428428429
0.30714285714285716,0.39148765432098753,17.487,0.463759788250149,0.7071439844349918,6.148504504504505
0.3163265306122449,0.31606790123456796,15.827,0.46296093932214843,0.7470688619377563,6.316132132132132
0.3163265306122449,0.342216049382716,15.69,0.453835077122121,0.7386726261973775,6.2113353353353356
0.3163265306122449,0.34517901234567905,16.798,0.4610144661102455,0.7092274355953117,6.170442442442442
0.3163265306122449,0.34904938271604946,15.972,0.4677308055260772,0.7177984911480958,6.196826826826827
0.3163265306122449,0.36837654320987645,17.256,0.45922016828437145,0.6927240654208969,5.688670670670671
0.32551020408163267,0.35825308641975306,16.65,0.46635617609558166,0.7279987061974564,6.305851851851852
0.32551020408163267,0.362753086419753,16.861,0.4574992874160739,0.7000498208174749,5.79580980980981
0.32551020408163267,0.36477160493827165,16.468,0.4624318419556756,0.7246379220775392,6.015375375375376
0.32551020408163267,0.3794012345679012,16.761,0.4716777232425648,0.721596960145458,6.177467467467467
0.32551020408163267,0.3891913580246913,17.179,0.468025743506023,0.7245139900392716,6.006632632632632
0.3346938775510204,0.3272407407407407,15.392,0.46373210039448165,0.7343998007596803,6.191227227227227
0.3346938775510204,0.33137654320987653,15.141,0.4596085628626849,0.7402089154007607,6.281163163163163
0.3346938775510204,0.3464135802469135,15.532,0.45616094548618485,0.7221909514125701,6.0934614614614615
0.3346938775510204,0.3875246913580246,17.155,0.46820479303118434,0.7089367052628761,6.20844044044044
0.3346938775510204,0.387925925925926,16.911,0.4673018998937551,0.7275263270928345,6.033555555555555
0.3438775510204082,0.32911728395061735,15.633,0.45975769979621417,0.7200359102831614,6.086538538538538
0.3438775510204082,0.3404259259259259,15.69,0.4632620697180815,0.7286143198834175,6.09378978978979
0.3438775510204082,0.3449567901234567,16.188,0.4559461878291301,0.7268115819465415,6.136606606606606
0.3438775510204082,0.3577962962962964,16.458917835671343,0.4639554977612969,0.7292413675722123,5.993911594502948
0.3438775510204082,0.40048765432098765,17.859,0.46275125974822406,0.6969312899192807,5.754836836836837
0.35306122448979593,0.3384938271604938,15.76,0.4600824876531163,0.731502153675829,6.176864864864865
0.35306122448979593,0.34091358024691365,15.673,0.4617847722210827,0.7358482880042496,6.100036036036036
0.35306122448979593,0.34351234567901234,15.682,0.4591583926496227,0.7187160249144401,6.103555555555555
0.35306122448979593,0.36383950617283944,16.148,0.4672383488888094,0.7277230697722685,6.203443443443444
0.35306122448979593,0.3731296296296296,16.82,0.4581952553212839,0.7110585805011881,5.908992992992993
0.3622448979591837,0.340746913580247,15.795,0.4641233631157462,0.731521888478636,6.288128128128128
0.3622448979591837,0.3579444444444444,16.36,0.47188931807330625,0.740834604519342,6.639131131131131
0.3622448979591837,0.37370987654320986,16.736,0.45653219539826495,0.719884989261314,6.001035035035035
0.3622448979591837,0.3769506172839505,17.747,0.4575854941283891,0.6925406379765964,5.79991991991992
0.3622448979591837,0.37857407407407395,17.303,0.45748873819979924,0.6888278194583181,5.8242482482482485
0.37142857142857144,0.3462283950617284,15.714,0.4595249635910131,0.7502561913991851,6.1081021021021025
0.37142857142857144,0.34883333333333333,16.201,0.46068123691922175,0.7192444737708522,6.124778778778778
