base_sigma,Gini_mean,Gini_std,k_in,P_k_in_mean,P_k_in_std,P_k_in_sem,k_in_mean_global,k_in_std_between_sims,k_in_sem_between_sims,n_sims
0.5,0.3364935185185185,0.013991372022200731,0,0.00010005005005005005,0.0003079475992424562,6.885917654139947e-05,15.51349094094094,0.49015316239355167,0.1096015790498475,20
0.5,0.3364935185185185,0.013991372022200731,1,0.00115015015015015,0.0009883830409798994,0.00022100916674390158,15.51349094094094,0.49015316239355167,0.1096015790498475,20
0.5,0.3364935185185185,0.013991372022200731,2,0.00325025025025025,0.002425387015401534,0.0005423330238183159,15.51349094094094,0.49015316239355167,0.1096015790498475,20
0.5,0.3364935185185185,0.013991372022200731,3,0.0058501001001001005,0.003082502301977166,0.0006892684688020527,15.51349094094094,0.49015316239355167,0.1096015790498475,20
0.5,0.3364935185185185,0.013991372022200731,4,0.0096002002002002,0.003529985614892419,0.0007893287794495843,15.51349094094094,0.49015316239355167,0.1096015790498475,20
0.5,0.3364935185185185,0.013991372022200731,5,0.015000900900900902,0.0032127084534018355,0.0007183834493694721,15.51349094094094,0.49015316239355167,0.1096015790498475,20
0.5,0.3364935185185185,0.013991372022200731,6,0.019701051051051053,0.004268952012674362,0.0009545666893024416,15.51349094094094,0.49015316239355167,0.1096015790498475,20
0.5,0.3364935185185185,0.013991372022200731,7,0.027701901901901905,0.005206195490047888,0.0011641407019899906,15.51349094094094,0.49015316239355167,0.1096015790498475,20
0.5,0.3364935185185185,0.013991372022200731,8,0.03270115115115115,0.005533409802996052,0.0012373080466862886,15.51349094094094,0.49015316239355167,0.1096015790498475,20
0.5,0.3364935185185185,0.013991372022200731,9,0.04025175175175175,0.0075581371215438665,0.001690050838703667,15.51349094094094,0.49015316239355167,0.1096015790498475,20
0.5,0.3364935185185185,0.013991372022200731,10,0.046101751751751754,0.006747410373824979,0.001508766826795992,15.51349094094094,0.49015316239355167,0.1096015790498475,20
0.5,0.3364935185185185,0.013991372022200731,11,0.05025235235235235,0.009192234414088762,0.0020554461015015422,15.51349094094094,0.49015316239355167,0.1096015790498475,20
0.5,0.3364935185185185,0.013991372022200731,12,0.05815270270270271,0.009862486414105974,0.0022053190049109096,15.51349094094094,0.49015316239355167,0.1096015790498475,20
0.5,0.3364935185185185,0.013991372022200731,13,0.06395255255255256,0.00774471043146326,0.0017317698990803572,15.51349094094094,0.49015316239355167,0.1096015790498475,20
0.5,0.3364935185185185,0.013991372022200731,14,0.0656525025025025,0.01082148402409365,0.002419757389530137,15.51349094094094,0.49015316239355167,0.1096015790498475,20
0.5,0.3364935185185185,0.013991372022200731,15,0.06585340340340341,0.011426762432970769,0.0025551017562863523,15.51349094094094,0.49015316239355167,0.1096015790498475,20
0.5,0.3364935185185185,0.013991372022200731,16,0.06860375375375374,0.012375200828597983,0.002767179028795682,15.51349094094094,0.49015316239355167,0.1096015790498475,20
0.5,0.3364935185185185,0.013991372022200731,17,0.0628033033033033,0.009340424224874017,0.0020885823505504084,15.51349094094094,0.49015316239355167,0.1096015790498475,20
0.5,0.3364935185185185,0.013991372022200731,18,0.05840310310310311,0.008401912394967362,0.0018787247256145082,15.51349094094094,0.49015316239355167,0.1096015790498475,20
0.5,0.3364935185185185,0.013991372022200731,19,0.05655315315315316,0.0074472435438112895,0.0016652542808958477,15.51349094094094,0.49015316239355167,0.1096015790498475,20
0.5,0.3364935185185185,0.013991372022200731,20,0.049603053053053056,0.00860292402623639,0.0019236722927930747,15.51349094094094,0.49015316239355167,0.1096015790498475,20
0.5,0.3364935185185185,0.013991372022200731,21,0.04545265265265265,0.009289931660833613,0.002077291869995148,15.51349094094094,0.49015316239355167,0.1096015790498475,20
0.5,0.3364935185185185,0.013991372022200731,22,0.03585235235235235,0.009491273698293811,0.002122313318244079,15.51349094094094,0.49015316239355167,0.1096015790498475,20
0.5,0.3364935185185185,0.013991372022200731,23,0.030402052052052052,0.009054430931052394,0.002024632305940986,15.51349094094094,0.49015316239355167,0.1096015790498475,20
0.5,0.3364935185185185,0.013991372022200731,24,0.026251401401401402,0.006858912160140478,0.0015336993841774031,15.51349094094094,0.49015316239355167,0.1096015790498475,20
0.5,0.3364935185185185,0.013991372022200731,25,0.020050750750750752,0.008009200507201213,0.0017909116779527704,15.51349094094094,0.49015316239355167,0.1096015790498475,20
0.5,0.3364935185185185,0.013991372022200731,26,0.013650750750750751,0.006192485916600787,0.0013846819459229452,15.51349094094094,0.49015316239355167,0.1096015790498475,20
0.5,0.3364935185185185,0.013991372022200731,27,0.01015045045045045,0.005668608649411201,0.001267539427792672,15.51349094094094,0.49015316239355167,0.1096015790498475,20
0.5,0.3364935185185185,0.013991372022200731,28,0.00585015015015015,0.002888569956242312,0.0006459038779921403,15.51349094094094,0.49015316239355167,0.1096015790498475,20
0.5,0.3364935185185185,0.013991372022200731,29,0.0036501001001001004,0.002814842214901171,0.0006294178538455088,15.51349094094094,0.49015316239355167,0.1096015790498475,20
0.5,0.3364935185185185,0.013991372022200731,30,0.0027501001001001,0.0020487094885960773,0.0004581053682649659,15.51349094094094,0.49015316239355167,0.1096015790498475,20
0.5,0.3364935185185185,0.013991372022200731,31,0.0025001001001001,0.002665550222706171,0.0005960351495410701,15.51349094094094,0.49015316239355167,0.1096015790498475,20
0.5,0.3364935185185185,0.013991372022200731,32,0.00075,0.001409553867457061,0.0003151858265581717,15.51349094094094,0.49015316239355167,0.1096015790498475,20
0.5,0.3364935185185185,0.013991372022200731,33,0.0007,0.0010809352675491624,0.0002417044737516849,15.51349094094094,0.49015316239355167,0.1096015790498475,20
0.5,0.3364935185185185,0.013991372022200731,34,0.0002,0.0004103913408340616,9.176629354822471e-05,15.51349094094094,0.49015316239355167,0.1096015790498475,20
0.5,0.3364935185185185,0.013991372022200731,35,0.00035,0.000812727700887249,0.00018173143863810045,15.51349094094094,0.49015316239355167,0.1096015790498475,20
0.5,0.3364935185185185,0.013991372022200731,36,0.0002,0.0004103913408340616,9.176629354822471e-05,15.51349094094094,0.49015316239355167,0.1096015790498475,20
